id_unique,nom,source,followers,popularity,genre,image_url,url_spotify,date_collecte
Limsa d'Aulnay_spotify,Limsa d'Aulnay,Spotify,56865,58,french rap,https://i.scdn.co/image/ab6761610000e5eb687e7c0f175574de1861973c,https://open.spotify.com/artist/7l6m2BySHwnjJuw22SXwh5,2026-01-27 08:19:07
Julia Minkin_spotify,Julia Minkin,Spotify,6052,55,french indie pop,https://i.scdn.co/image/ab6761610000e5eb41e195b3772e9349adadd14d,https://open.spotify.com/artist/63fbQTZ9yW3SUsBRYcn1Wm,2026-01-27 08:19:08
TR3NACRIA_spotify,TR3NACRIA,Spotify,5373,50,afro house,https://i.scdn.co/image/ab6761610000e5eb17f8739b3d07a28cfda82971,https://open.spotify.com/artist/1gFiEIH4TiLrNeoq7rktTH,2026-01-27 08:19:08
kulturr_spotify,kulturr,Spotify,49594,58,"french r&b, pop urbaine",https://i.scdn.co/image/ab6761610000e5eba88f7d3cc726f6677f2a8181,https://open.spotify.com/artist/2yTwZyGRSRDUjZNsLvIOW4,2026-01-27 08:19:09
Natoxie_spotify,Natoxie,Spotify,60236,53,"shatta, kompa, zouk",https://i.scdn.co/image/ab6761610000e5ebc3507b8210cbf205b0fa293d,https://open.spotify.com/artist/1Wqloe5S1i29Ff7YiWg0x5,2026-01-27 08:19:09
Méne_spotify,Méne,Spotify,59869,52,"latin r&b, latin indie",https://i.scdn.co/image/ab6761610000e5eb1bed9b72c5ca5f5c8f4a6951,https://open.spotify.com/artist/5r3DSRaJz8ckIw4XPH9Whd,2026-01-27 08:19:09
marguerite_spotify,marguerite,Spotify,50671,55,"french pop, variété française",https://i.scdn.co/image/ab6761610000e5eb511a95b6f675ad0adfc3bddf,https://open.spotify.com/artist/4jF2P66DtNEficnixuIhKQ,2026-01-27 08:19:10
Rousnam_spotify,Rousnam,Spotify,50126,56,french rap,https://i.scdn.co/image/ab6761610000e5eb06e55f1eb7c5949238e0b6b9,https://open.spotify.com/artist/2swYfXhkzkb8s8djG6UjSm,2026-01-27 08:19:10
FRENCHGRL_spotify,FRENCHGRL,Spotify,5125,50,Non spécifié,https://i.scdn.co/image/ab6761610000e5ebd6b6a174cf708e9fc041f713,https://open.spotify.com/artist/06eMSN9Y5cS7EZX6nnkxpC,2026-01-27 08:19:11
ZZ_spotify,ZZ,Spotify,27463,60,french rap,https://i.scdn.co/image/ab6761610000e5eb36650aef9a8a6777cb226562,https://open.spotify.com/artist/51loVlVgRomkJwd04A6B1e,2026-01-27 08:19:11
Ashvma_spotify,Ashvma,Spotify,10876,58,Non spécifié,https://i.scdn.co/image/ab6761610000e5eb97280ddefcdf4c54c8123ee7,https://open.spotify.com/artist/46fYppQRc2dAeDAMnrVb6R,2026-01-27 08:19:12
Mikado_spotify,Mikado,Spotify,31434,58,"shatta, zouk, kompa",https://i.scdn.co/image/ab6761610000e5ebed3965fb287e581a5ffd5e2a,https://open.spotify.com/artist/41Csk4RHbXp1jnMN4NWwOE,2026-01-27 08:19:12
Yoa_spotify,Yoa,Spotify,46006,54,"french pop, french indie pop",https://i.scdn.co/image/ab6761610000e5eb7164567ab7c16ee4e07238ca,https://open.spotify.com/artist/7d1ctWXfrUvAe804Zld3Gy,2026-01-27 08:19:12
Rambo goyard_spotify,Rambo goyard,Spotify,12294,62,french rap,https://i.scdn.co/image/ab6761610000e5eba8f8fb67081f190e66a14ef7,https://open.spotify.com/artist/0RRp1XbMoTmW8zSWC1synA,2026-01-27 08:19:13
1T1_spotify,1T1,Spotify,52022,52,"shatta, soca, kompa",https://i.scdn.co/image/ab6761610000e5eb2cfcca9a3b3dc0f14dd4b22a,https://open.spotify.com/artist/29DEO5ubNTmLbFSEZDP2we,2026-01-27 08:19:13
Lushe_spotify,Lushe,Spotify,34846,57,french rap,https://i.scdn.co/image/ab6761610000e5ebb94b665a0b5b47618bcff3f4,https://open.spotify.com/artist/5zCMyo4rRc63lqoXLKIcgv,2026-01-27 08:19:14
Bendo_spotify,Bendo,Spotify,5586,48,french rap,https://i.scdn.co/image/ab6761610000e5eb65df7d1372720a15902b915c,https://open.spotify.com/artist/2VDWsiOnCzMSnxfinUYJkH,2026-01-27 08:19:14
HMZ_spotify,HMZ,Spotify,32885,55,french rap,https://i.scdn.co/image/ab6761610000e5eb801d992ee8cacaed07412b9d,https://open.spotify.com/artist/6pg4S5KTCPiEBp0rSWsaI6,2026-01-27 08:19:14
Léman_spotify,Léman,Spotify,59475,48,"french pop, variété française, chanson",https://i.scdn.co/image/ab6761610000e5ebdbdb4d7090f7869713fff1a4,https://open.spotify.com/artist/2EnOL1ADehfBQB03ELa3QQ,2026-01-27 08:19:15
TRZ_spotify,TRZ,Spotify,35284,53,"french rap, shatta",https://i.scdn.co/image/ab6761610000e5eb99d26392d8f7454d31c9b6b8,https://open.spotify.com/artist/7cLUwy0R7N8q1YSjHYZdrU,2026-01-27 08:19:15
2 Mètres_spotify,2 Mètres,Spotify,16894,58,french rap,https://i.scdn.co/image/ab6761610000e5eb71574b9dcdc35a2f6c8c9578,https://open.spotify.com/artist/3WUHUmukg1hiSrVCfCoSbF,2026-01-27 08:19:15
Danyl_spotify,Danyl,Spotify,39995,57,french rap,https://i.scdn.co/image/ab6761610000e5eba0429d93819c94c509eac490,https://open.spotify.com/artist/5Hq9W3lm1N9KRCf35RBMab,2026-01-27 08:19:16
DL91 Era_spotify,DL91 Era,Spotify,18136,57,"desi hip hop, hindi hip hop",https://i.scdn.co/image/ab6761610000e5ebef0b0a24b4754e838f07ee71,https://open.spotify.com/artist/3mWqCmX0xuzBJN648XSBrE,2026-01-27 08:19:16
Thisizlondon_spotify,Thisizlondon,Spotify,9854,54,"latin afrobeats, afrobeats, afrobeat",https://i.scdn.co/image/ab6761610000e5eb70fba59b62b3f083fc7468b0,https://open.spotify.com/artist/30SVAanrbFS6o0cIVDZ9ta,2026-01-27 08:19:17
Styleto_spotify,Styleto,Spotify,54263,48,"french pop, variété française",https://i.scdn.co/image/ab6761610000e5ebfb6ddfd62bb4eeeabe41977b,https://open.spotify.com/artist/4vbZKiwmvbbW6onily9SJ5,2026-01-27 08:19:17
Missan_spotify,Missan,Spotify,38302,55,french rap,https://i.scdn.co/image/ab6761610000e5eb2edb1a9675ccfc4d661e2c08,https://open.spotify.com/artist/5bpoMhoeJ19sJSuELfgWMk,2026-01-27 08:19:18
XVI_spotify,XVI,Spotify,3633,44,Non spécifié,https://i.scdn.co/image/ab6761610000e5eb11806d96f5bf957b1ae35d5c,https://open.spotify.com/artist/0utiBmutysHdb0zXFCLMT2,2026-01-27 08:19:18
Lerizzle_spotify,Lerizzle,Spotify,3045,46,german hip hop,https://i.scdn.co/image/ab6761610000e5ebe7c3f23362631d7bef029e04,https://open.spotify.com/artist/1h9kOJqZoCwgSbokQw6GsU,2026-01-27 08:19:18
Ino Casablanca_spotify,Ino Casablanca,Spotify,31475,55,french rap,https://i.scdn.co/image/ab6761610000e5eb9fc6a7e6e4b6e0c63401be2a,https://open.spotify.com/artist/5blvB6N3OACeH0gJL9BRqf,2026-01-27 08:19:19
S2_spotify,S2,Spotify,18519,56,french rap,https://i.scdn.co/image/ab6761610000e5eb65e0d14bd3e4ca4c134759a9,https://open.spotify.com/artist/60HWrpmSefhtMWCkghazzG,2026-01-27 08:19:19
Mack H.D_spotify,Mack H.D,Spotify,21712,56,"afrobeats, afrobeat, afro r&b",https://i.scdn.co/image/ab6761610000e5eb1d092b7af46121ba29d2c76b,https://open.spotify.com/artist/0IUp0l21VlpoOz8525KfAJ,2026-01-27 08:19:20
Jungle Jack_spotify,Jungle Jack,Spotify,37967,53,french rap,https://i.scdn.co/image/ab6761610000e5ebee435ebbdd7b1f33b3d656fb,https://open.spotify.com/artist/36HOtWiV4nn0luNGSn2xAT,2026-01-27 08:19:20
MPL_spotify,MPL,Spotify,47834,51,"french pop, french indie pop, variété française",https://i.scdn.co/image/ab6761610000e5eb3b043e49065a2cf68e76c0cc,https://open.spotify.com/artist/7pcG7za39JaUHalwqiuCt9,2026-01-27 08:19:20
WIXO & LA2S_spotify,WIXO & LA2S,Spotify,34729,56,french rap,https://i.scdn.co/image/ab6761610000e5ebc9bb882e1240850ce794e9f2,https://open.spotify.com/artist/0VWHKHfSFwUhP0cuvVUfRN,2026-01-27 08:19:21
63OG_spotify,63OG,Spotify,33203,54,french rap,https://i.scdn.co/image/ab6761610000e5ebbff8b62dd4354c96d4599583,https://open.spotify.com/artist/1wRx48q25O8HPDTyNOUQ2k,2026-01-27 08:19:21
Killa Predator_spotify,Killa Predator,Spotify,2865,43,Non spécifié,https://i.scdn.co/image/ab6761610000e5eb18bec624155717f6cfa77350,https://open.spotify.com/artist/2jxihp917o7WCCEN3xZXww,2026-01-27 08:19:21
Bobbyezz_spotify,Bobbyezz,Spotify,35883,55,german hip hop,https://i.scdn.co/image/ab6761610000e5ebeefb4d37e96874ef1fa7e8d0,https://open.spotify.com/artist/5hV6TRKQwmvIWKTlsob1z8,2026-01-27 08:19:22
KGS_spotify,KGS,Spotify,1673,44,"shatta, kizomba",https://i.scdn.co/image/ab6761610000e5ebf208e96a029a7eff537d4ffa,https://open.spotify.com/artist/5Iib8YFyekylXZIqcVT1Qk,2026-01-27 08:19:23
Huntrill_spotify,Huntrill,Spotify,23959,56,french rap,https://i.scdn.co/image/ab6761610000e5eb38bf2ceb8caee8f86ad541e0,https://open.spotify.com/artist/1Nm9adUt6D5iuhRgirlgF2,2026-01-27 08:19:23
Prod. 94_spotify,Prod. 94,Spotify,8463,51,Non spécifié,https://i.scdn.co/image/ab6761610000e5eb9e3d9f0864cbe0d2b07648a4,https://open.spotify.com/artist/76aDH2U2OFw00wOWvhK6pk,2026-01-27 08:19:23
Vanou_spotify,Vanou,Spotify,1077,45,"shatta, dancehall",https://i.scdn.co/image/ab6761610000e5ebcea26835aaa5520dbb549630,https://open.spotify.com/artist/5bRjVnu5q4ySUkVYifxtGE,2026-01-27 08:19:24
DVM_spotify,DVM,Spotify,44123,50,french rap,https://i.scdn.co/image/ab6761610000e5eb6024982995f9f80c1b3b57a4,https://open.spotify.com/artist/6Tzkt668w24f7uHLTiq6tr,2026-01-27 08:19:24
Lisa Pariente_spotify,Lisa Pariente,Spotify,40400,52,"french pop, variété française",https://i.scdn.co/image/ab6761610000e5eb7f55ee81e8fa219dca028a82,https://open.spotify.com/artist/2D15WFlWJuCeEGC1LGss6X,2026-01-27 08:19:25
Lagui_spotify,Lagui,Spotify,9007,50,Non spécifié,https://i.scdn.co/image/ab6761610000e5ebd18ed8e3137beb4234c9d65f,https://open.spotify.com/artist/3TP2Ucsow6rW1s24aq9gb4,2026-01-27 08:19:25
Lille Saus_spotify,Lille Saus,Spotify,1953,44,"russelåter, epadunk",https://i.scdn.co/image/ab6761610000e5eb6201975cdce5d4e2f458eb9a,https://open.spotify.com/artist/15saPvefLxxtw3nvTOCUg0,2026-01-27 08:19:25
Seth Sad_spotify,Seth Sad,Spotify,55266,46,Non spécifié,https://i.scdn.co/image/ab6761610000e5eb954e01e97510c56f42f55e34,https://open.spotify.com/artist/4yDo1iZ02sOpLsh1oGAAg9,2026-01-27 08:19:26
Solda_spotify,Solda,Spotify,10191,52,french rap,https://i.scdn.co/image/ab67616d0000b27305a6f7c1af5093823ddf9ffc,https://open.spotify.com/artist/7FXX45sHqoQoCwqtG0ZV8H,2026-01-27 08:19:26
La Plaie_spotify,La Plaie,Spotify,38218,51,french rap,https://i.scdn.co/image/ab6761610000e5eb350a93404f43aa9b76f49e90,https://open.spotify.com/artist/2ktXCualVDXC8h7jNOuyoQ,2026-01-27 08:19:27
Sheu_spotify,Sheu,Spotify,45235,49,french rap,https://i.scdn.co/image/ab6761610000e5eb39c504dc096290b43fe85292,https://open.spotify.com/artist/2NtvkyG03ApOKPBj3TcQRt,2026-01-27 08:19:27
Eloïz_spotify,Eloïz,Spotify,39687,50,"french pop, variété française, chanson",https://i.scdn.co/image/ab6761610000e5eb0112ac8770ab64fac00ed6ed,https://open.spotify.com/artist/1J7b2Snol73xTmYILnCk1t,2026-01-27 08:19:27
Poupie_spotify,Poupie,Spotify,52212,46,"french pop, variété française, pop urbaine",https://i.scdn.co/image/ab6761610000e5ebe412047e64d37139421bef8b,https://open.spotify.com/artist/71x0OO2toFjXrMRcufL9tv,2026-01-27 08:19:28
Marlo_spotify,Marlo,Spotify,1992,43,french rap,https://i.scdn.co/image/ab6761610000e5ebf5739ca98b1a6ccd330278f4,https://open.spotify.com/artist/1ESz23V2EMNGK2WhuAsTN9,2026-01-27 08:19:28
